Nama Pengadilan,Pengadilan Tinggi,Provinsi,Jumlah Putusan / Publikasi
PA BONDOWOSO,PTA SURABAYA,,45583 / 45510
PA BONTANG,PTA SAMARINDA,,6385 / 6074
PA BOYOLALI,PTA SEMARANG,,26445 / 25242
PA BREBES,PTA SEMARANG,,72471 / 71424
PA BUKITTINGGI,PTA PADANG,,12647 / 12604
PA BULUKUMBA,PTA MAKASSAR,,15831 / 15793
PA BUNGKU,PTA PALU,,6533 / 6521
PA BUNTOK,PTA PALANGKARAYA,,5115 / 4972
PA BUOL,PTA PALU,,3719 / 3685
PA Belopa,PTA MAKASSAR,,5671 / 5648
PA Bintuhan,PTA BENGKULU,,2001 / 1867
PA Bolaang Uki,PTA MANADO,,2285 / 2269
PA Boroko,PTA MANADO,,2160 / 2124
PA CIAMIS,PTA BANDUNG,,64896 / 63699
PA CIANJUR,PTA BANDUNG,,58854 / 56293
PA CIBADAK,PTA BANDUNG,,20660 / 20150
PA CIBINONG,PTA BANDUNG,,78414 / 76876
PA CIKARANG,PTA BANDUNG,,39387 / 38743
PA CILACAP,PTA SEMARANG,,98056 / 95620
PA CILEGON,PTA BANTEN,,13342 / 13243
PA CIMAHI,PTA BANDUNG,,47771 / 36430
PA CIREBON,PTA BANDUNG,,11502 / 10781
PA CURUP,PTA BENGKULU,,10182 / 9975
PA DABO SINGKEP,PTA PEKANBARU,,3037 / 3010
PA DEMAK,PTA SEMARANG,,33216 / 33186
PA DENPASAR,PTA MATARAM,,7213 / 7200
PA DEPOK,PTA BANDUNG,,43537 / 36131
PA DOMPU,PTA MATARAM,,12948 / 12643
PA DONGGALA,PTA PALU,,9478 / 8976
PA DUMAI,PTA PEKANBARU,,7207 / 7046
PA Dataran Hunimoa,PTA MALUKU UTARA,,1359 / 1356
PA Dataran Hunipopu,PTA MALUKU UTARA,,1508 / 1500
PA ENDE,PTA KUPANG,,1341 / 1285
PA ENREKANG,PTA MAKASSAR,,5886 / 5839
PA FAK FAK,PTA JAYAPURA,,2460 / 2443
PA GARUT,PTA BANDUNG,,58916 / 55643
PA GIANYAR,PTA MATARAM,,510 / 509
PA GIRI MENANG,PTA MATARAM,,25802 / 17540
PA GORONTALO,PTA GORONTALO,,12964 / 12866
PA GRESIK,PTA SURABAYA,,35034 / 34972
PA GUNUNG SITOLI,PTA MEDAN,,1039 / 1030
PA GUNUNG SUGIH,PTA BANDAR LAMPUNG,,25235 / 25107
PA Gedong Tataan,PTA BANDAR LAMPUNG,,5359 / 5291
PA INDRAMAYU,PTA BANDUNG,,94530 / 91163
PA JAKARTA BARAT,PTA JAKARTA,,46059 / 45342
PA JAKARTA PUSAT,PTA JAKARTA,,29358 / 24993
PA JAKARTA SELATAN,PTA JAKARTA,,62720 / 54047
PA JAKARTA TIMUR,PTA JAKARTA,,57643 / 56920
PA JAKARTA UTARA,PTA JAKARTA,,35734 / 32505
PA JAMBI,PTA JAMBI,,14639 / 14522
PA JAYAPURA,PTA JAYAPURA,,5447 / 5410
PA JEMBER,PTA SURABAYA,,136360 / 136334
PA JENNEPONTO,PTA MAKASSAR,,7282 / 7268
PA JEPARA,PTA SEMARANG,,29267 / 28820
PA JOMBANG,PTA SURABAYA,,44556 / 43884
PA KAB MALANG,PTA SURABAYA,,131889 / 131794
PA KABUPATEN KEDIRI,PTA SURABAYA,,69390 / 68960
PA KABUPATEN MADIUN,PTA SURABAYA,,23033 / 23026
PA KAJEN,PTA SEMARANG,,28760 / 26967
PA KALABAHI,PTA KUPANG,,1336 / 1334
PA KALIANDA,PTA BANDAR LAMPUNG,,20040 / 19375
PA KANDANGAN,PTA BANJARMASIN,,7182 / 7178
PA KANGEAN,PTA SURABAYA,,8903 / 8900
PA KARANGANYAR,PTA SEMARANG,,23003 / 22793
PA KARANGASEM,PTA MATARAM,,565 / 538
PA KARAWANG,PTA BANDUNG,,47425 / 45098
PA KAYU AGUNG,PTA PALEMBANG,,20458 / 20429
PA KEBUMEN,PTA SEMARANG,,46301 / 45447
PA KEDIRI,PTA SURABAYA,,12537 / 12515
PA KEFAMENANU,PTA KUPANG,,132 / 132
PA KENDAL,PTA SEMARANG,,38750 / 38324
PA KENDARI,PTA KENDARI,,13897 / 13194
PA KETAPANG,PTA PONTIANAK,,12215 / 12214
PA KISARAN,PTA MEDAN,,20758 / 20445
PA KLATEN,PTA SEMARANG,,25766 / 25642
PA KLUNGKUNG,PTA MATARAM,,334 / 334
PA KOLAKA,PTA KENDARI,,8541 / 8501
PA KOTA BANJAR,PTA BANDUNG,,10822 / 10782
PA KOTABARU,PTA BANJARMASIN,,6714 / 6693
PA KOTABUMI,PTA BANDAR LAMPUNG,,14328 / 14216
PA KOTAMOBAGU,PTA MANADO,,6435 / 6427
PA KOTO BARU,PTA PADANG,,8090 / 8059
PA KRAKSAAN,PTA SURABAYA,,41995 / 41764
PA KRUI,PTA BANDAR LAMPUNG,,7751 / 7464
PA KUALA KAPUAS,PTA PALANGKARAYA,,7911 / 7886
PA KUALA TUNGKAL,PTA JAMBI,,10112 / 10106
PA KUDUS,PTA SEMARANG,,19703 / 19616
