Nama Pengadilan,Pengadilan Tinggi,Provinsi,Jumlah Putusan / Publikasi
PN BANDUNG,PT BANDUNG,,24319 / 20974
PN BANGIL,PT SURABAYA,,12700 / 11776
PN BANGKALAN,PT SURABAYA,,7911 / 7438
PN BANGKINANG,PT PEKANBARU,,10754 / 10268
PN BANGKO,PT JAMBI,,3611 / 3277
PN BANGLI,PT DENPASAR,,4023 / 3859
PN BANJARBARU,PT BANJARMASIN,,7693 / 7232
PN BANJARMASIN,PT BANJARMASIN,,13598 / 13252
PN BANJARNEGARA,PT SEMARANG,,4605 / 4446
PN BANTA ENG,PT MAKASSAR,,1929 / 1816
PN BANTUL,PT YOGYAKARTA,,7873 / 7384
PN BANYUMAS,PT SEMARANG,,4902 / 4614
PN BANYUWANGI,PT SURABAYA,,14536 / 12699
PN BARABAI,PT BANJARMASIN,,3982 / 3868
PN BARRU,PT MAKASSAR,,2400 / 2327
PN BATAM,PT KEPULAUAN RIAU,,18216 / 14939
PN BATANG,PT SEMARANG,,5182 / 4983
PN BATULICIN,PT BANJARMASIN,,5439 / 5211
PN BATURAJA,PT PALEMBANG,,17604 / 15797
PN BATUSANGKAR,PT PADANG,,2469 / 2211
PN BAUBAU,PT KENDARI,,3080 / 2905
PN BEKASI,PT BANDUNG,,21701 / 17468
PN BENGKALIS,PT PEKANBARU,,11275 / 10752
PN BENGKAYANG,PT PONTIANAK,,2125 / 2030
PN BENGKULU,PT BENGKULU,,8021 / 7105
PN BIAK,PT JAYAPURA,,2154 / 1589
PN BINJAI,PT MEDAN,,6971 / 6514
PN BIREUEN,PT BANDA ACEH,,3847 / 3770
PN BITUNG,PT MANADO,,5144 / 4163
PN BLAMBANGAN UMPU,PT TANJUNG KARANG,,1980 / 1895
PN BLANGKAJEREN,PT BANDA ACEH,,954 / 904
PN BLITAR,PT SURABAYA,,32329 / 31140
PN BLORA,PT SEMARANG,,5162 / 4905
PN BOGOR,PT BANDUNG,,5284 / 4546
PN BOJONEGORO,PT SURABAYA,,9463 / 9235
PN BONDOWOSO,PT SURABAYA,,5304 / 5257
PN BONTANG,PT SAMARINDA,,2624 / 2442
PN BOYOLALI,PT SEMARANG,,6659 / 5965
PN BREBES,PT SEMARANG,,4808 / 4590
PN BUKITTINGGI,PT PADANG,,3384 / 3258
PN BULUKUMBA,PT MAKASSAR,,7338 / 7142
PN BUNTOK,PT PALANGKARAYA,,1691 / 1658
PN BUOL,PT PALU,,1032 / 887
PN Banjar,PT BANDUNG,,827 / 795
PN Belopa,PT MAKASSAR,,1417 / 1252
PN Bintuhan,PT BENGKULU,,1112 / 960
PN Blangpidie,PT BANDA ACEH,,587 / 585
PN Bobong,PT MALUKU UTARA,,159 / 154
PN CALANG,PT BANDA ACEH,,986 / 950
PN CIAMIS,PT BANDUNG,,5993 / 5582
PN CIANJUR,PT BANDUNG,,6844 / 6150
PN CIBADAK,PT BANDUNG,,6204 / 4786
PN CIBINONG,PT BANDUNG,,17188 / 15073
PN CILACAP,PT SEMARANG,,8677 / 7519
PN CIREBON,PT BANDUNG,,5163 / 5064
PN CURUP,PT BENGKULU,,1724 / 1595
PN Cikarang,PT BANDUNG,,7771 / 7401
PN DEMAK,PT SEMARANG,,5620 / 5190
PN DENPASAR,PT DENPASAR,,37624 / 31206
PN DEPOK,PT BANDUNG,,7029 / 6155
PN DOMPU,PT MATARAM,,2990 / 2799
PN DONGGALA,PT PALU,,3874 / 3463
PN DUMAI,PT PEKANBARU,,8090 / 7914
PN Dataran Hunimoa,PT AMBON,,354 / 306
PN Dataran Hunipopu,PT AMBON,,568 / 500
PN Dobo,PT AMBON,,592 / 518
PN ENDE,PT KUPANG,,1226 / 1041
PN ENREKANG,PT MAKASSAR,,1574 / 1492
PN FAK FAK,PT JAYAPURA,,859 / 705
PN GARUT,PT BANDUNG,,6728 / 6372
PN GIANYAR,PT DENPASAR,,6420 / 5047
PN GORONTALO,PT GORONTALO,,5916 / 5076
PN GRESIK,PT SURABAYA,,10036 / 9337
PN GUNUNG SITOLI,PT MEDAN,,5806 / 5387
PN GUNUNG SUGIH,PT TANJUNG KARANG,,6677 / 6367
PN Gedong Tataan,PT TANJUNG KARANG,,1565 / 1526
PN IDI,PT BANDA ACEH,,3203 / 2836
PN INDRAMAYU,PT BANDUNG,,9321 / 7896
PN JAKARTA BARAT,PT JAKARTA,,31620 / 21824
PN JAKARTA PUSAT,PT JAKARTA,,31714 / 28201
PN JAKARTA SELATAN,PT JAKARTA,,25140 / 18384
PN JAKARTA TIMUR,PT JAKARTA,,21367 / 15116
PN JAKARTA UTARA,PT JAKARTA,,29547 / 24600
PN JAMBI,PT JAMBI,,12913 / 11945
PN JANTHO,PT BANDA ACEH,,4419 / 4272
PN JAYAPURA,PT JAYAPURA,,14306 / 12185
PN JEMBER,PT SURABAYA,,24443 / 23337
PN JENEPONTO,PT MAKASSAR,,1619 / 1410
PN JEPARA,PT SEMARANG,,5175 / 4954
PN JOMBANG,PT SURABAYA,,14455 / 13028
PN KAB KEDIRI,PT SURABAYA,,20491 / 18052
PN KAB MADIUN,PT SURABAYA,,4880 / 4516
PN KAB SEMARANG,PT SEMARANG,,8521 / 7710
PN KABANJAHE,PT MEDAN,,5352 / 4993
PN KABUPATEN MAGELANG DI MUNGKID,PT SEMARANG,,7758 / 6863
PN KABUPATEN TEGAL DI SLAWI,PT SEMARANG,,3675 / 3545
PN KALABAHI,PT KUPANG,,1823 / 1550
PN KALIANDA,PT TANJUNG KARANG,,8388 / 7756
PN KANDANGAN,PT BANJARMASIN,,6571 / 6467
PN KARANGAYAR,PT SEMARANG,,6768 / 6244
PN KARAWANG,PT BANDUNG,,5979 / 5208
PN KASONGAN,PT PALANGKARAYA,,1534 / 1398
PN KAYUAGUNG,PT PALEMBANG,,9296 / 8678
PN KEBUMEN,PT SEMARANG,,6822 / 6215
PN KEDIRI,PT SURABAYA,,8630 / 7768
PN KEFAMENANU,PT KUPANG,,1674 / 1484
PN KENDAL,PT SEMARANG,,7168 / 6740
PN KENDARI,PT KENDARI,,5505 / 5183
PN KEPAHIANG,PT BENGKULU,,1654 / 1405
PN KEPANJEN,PT SURABAYA,,8247 / 7795
PN KETAPANG,PT PONTIANAK,,6837 / 6456
PN KISARAN,PT MEDAN,,14858 / 14082
PN KLATEN,PT SEMARANG,,8362 / 7396
PN KOLAKA,PT KENDARI,,3265 / 3082
PN KOTA AGUNG,PT TANJUNG KARANG,,3945 / 3903
PN KOTA TIMIKA KABUPATEN MIMIKA,PT JAYAPURA,,3605 / 3089
PN KOTABARU,PT BANJARMASIN,,5150 / 4773
PN KOTABUMI,PT TANJUNG KARANG,,5133 / 4522
PN KOTAMOBAGU,PT MANADO,,7041 / 6545
PN KOTOBARU,PT PADANG,,2735 / 2478
PN KRAKSAAN,PT SURABAYA,,6538 / 5837
PN KUALA KAPUAS,PT PALANGKARAYA,,3338 / 3269
PN KUALA SIMPANG,PT BANDA ACEH,,5518 / 4631
PN KUALA TUNGKAL,PT JAMBI,,3632 / 3290
PN KUDUS,PT SEMARANG,,9685 / 8901
PN KUNINGAN,PT BANDUNG,,3279 / 3116
PN KUPANG,PT KUPANG,,8332 / 7202
PN KUTACANE,PT BANDA ACEH,,1790 / 1732
PN KUTAI BARAT,PT SAMARINDA,,3098 / 3008
PN Kaimana,PT JAYAPURA,,813 / 798
PN Koba,PT BANGKA BELITUNG,,1634 / 1535
PN Kuala Kurun,PT PALANGKARAYA,,884 / 783
PN LABUHA,PT MALUKU UTARA,,1508 / 1294
PN LAHAT,PT PALEMBANG,,5528 / 5172
PN LAMONGAN,PT SURABAYA,,7448 / 6894
PN LANGSA,PT BANDA ACEH,,3680 / 3565
PN LARANTUKA,PT KUPANG,,1479 / 1269
PN LEMBATA,PT KUPANG,,767 / 681
PN LHOK SEUMAWE,PT BANDA ACEH,,4799 / 4604
PN LHOK SUKON,PT BANDA ACEH,,4970 / 4892
PN LIMBOTO,PT GORONTALO,,2725 / 1992
PN LIWA KABUPATEN LAMPUNG BARAT,PT TANJUNG KARANG,,2450 / 2224
PN LUBUK BASUNG,PT PADANG,,2553 / 2426
PN LUBUK LINGAU,PT PALEMBANG,,10949 / 10176
PN LUBUK PAKAM,PT MEDAN,,27072 / 26171
PN LUBUK SIKAPING,PT PADANG,,2084 / 2031
PN LUMAJANG,PT SURABAYA,,7302 / 6872
PN LUWUK,PT PALU,,4316 / 3630
PN Labuan Bajo,PT KUPANG,,1311 / 1202
PN Lasusua,PT KENDARI,,702 / 686
PN Latihan,,,34 / 3
PN MADIUN,PT SURABAYA,,5509 / 4800
PN MAGELANG,PT SEMARANG,,3099 / 2812
PN MAGETAN,PT SURABAYA,,6006 / 5724
PN MAJALENGKA,PT BANDUNG,,3362 / 3223
PN MAJENE,PT MAKASSAR,,1376 / 1278
PN MAKALE,PT MAKASSAR,,4055 / 2712
PN MAKASSAR,PT MAKASSAR,,25963 / 23962
PN MALANG,PT SURABAYA,,28582 / 25998
PN MALILI,PT MAKASSAR,,2719 / 2572
PN MALINAU,PT SAMARINDA,,1623 / 1563
PN MAMUJU,PT MAKASSAR,,4270 / 3881
PN MANADO,PT MANADO,,10297 / 9010
PN MANDAILING NATAL,PT MEDAN,,3935 / 3423
PN MANNA,PT BENGKULU,Bengkulu,2100 / 1526
PN MANOKWARI,PT JAYAPURA,,2772 / 2139
PN MARABAHAN,PT BANJARMASIN,,3060 / 2843
PN MARISA,PT GORONTALO,,1310 / 1186
PN MAROS,PT MAKASSAR,,3456 / 3311
PN MARTAPURA,PT BANJARMASIN,,6334 / 6251
PN MASAMBA,PT MAKASSAR,,2299 / 1720
PN MASOHI,PT AMBON,,1574 / 1386
PN MATARAM,PT MATARAM,,14525 / 12872
PN MAUMERE,PT KUPANG,,2568 / 2236
PN MEDAN,PT MEDAN,,57329 / 51333
PN MEMPAWAH,PT PONTIANAK,,9546 / 8878
PN MENGGALA,PT TANJUNG KARANG,,5515 / 5258
PN MERAUKE,PT JAYAPURA,,2285 / 2111
PN METRO,PT TANJUNG KARANG,,4695 / 4356
PN MEULABOH,PT BANDA ACEH,,2661 / 2496
PN MOJOKERTO,PT SURABAYA,,7433 / 6502
PN MUARA BULIAN,PT JAMBI,,2843 / 2694
PN MUARA BUNGO,PT JAMBI,,4344 / 3960
PN MUARA ENIM,PT PALEMBANG,,8983 / 8867
PN MUARA TEWE,PT PALANGKARAYA,,2490 / 2136
PN MUARO,PT PADANG,,1398 / 1287
PN Melonguane,PT MANADO,,720 / 696
PN Mentok,PT BANGKA BELITUNG,,1790 / 1690
PN Meureudu,PT BANDA ACEH,,948 / 945
PN Mukomuko,PT BENGKULU,,1108 / 1067
PN NABIRE,PT JAYAPURA,,2012 / 1892
PN NEGARA,PT DENPASAR,,4765 / 3518
PN NGANJUK,PT SURABAYA,,8236 / 7606
PN NGAWI,PT SURABAYA,,5812 / 3548
PN NUNUKAN,PT SAMARINDA,,2813 / 2697
PN Namlea,PT AMBON,,603 / 565
PN Nanga Bulik,PT PALANGKARAYA,,1318 / 1270
PN Ngabang,PT PONTIANAK,Kalimantan Barat,1799 / 1612
PN Oelamasi,PT KUPANG,,3206 / 2575
PN PACITAN,PT SURABAYA,,2245 / 2052
PN PADANG,PT PADANG,,18432 / 16980
PN PADANG PANJANG,PT PADANG,,1228 / 1170
PN PADANG SIDEMPUAN,PT MEDAN,,6590 / 5992
PN PAGAR ALAM,PT PALEMBANG,,1745 / 1621
PN PAINAN,PT PADANG,,2858 / 2726
PN PALANGKARAYA,PT PALANGKARAYA,,9462 / 8668
PN PALEMBANG,PT PALEMBANG,,27646 / 24532
PN PALOPO,PT MAKASSAR,,3439 / 2773
PN PALU,PT PALU,,7949 / 6766
PN PAMEKASAN,PT SURABAYA,,5254 / 4914
PN PANDEGLANG,PT BANTEN,,3061 / 2809
PN PANGKAJENE,PT MAKASSAR,,2389 / 2262
PN PANGKAL PINANG,PT BANGKA BELITUNG,,5496 / 5055
PN PANGKALAN BUN,PT PALANGKARAYA,,5134 / 4652
PN PARE PARE,PT MAKASSAR,,4688 / 4489
PN PARIAMAN,PT PADANG,,4461 / 4221
PN PASAMAN BARAT,PT PADANG,,2762 / 2572
PN PASANGKAYU,PT MAKASSAR,,2006 / 1829
PN PASIR PANGARAIAN,PT PEKANBARU,,8856 / 8468
PN PASURUAN,PT SURABAYA,,5229 / 4974
PN PATI,PT SEMARANG,,7999 / 7836
PN PAYAKUMBUH,PT PADANG,,3195 / 3071
PN PEKALONGAN,PT SEMARANG,,8117 / 7747
PN PEKANBARU,PT PEKANBARU,,19293 / 18081
PN PELAIHARI,PT BANJARMASIN,,5593 / 5492
PN PELALAWAN,PT PEKANBARU,,6297 / 6091
PN PEMALANG,PT SEMARANG,,4728 / 4250
PN PEMATANG SIANTAR,PT MEDAN,,7197 / 6671
PN PINRANG,PT MAKASSAR,,3671 / 3416
PN POLEWALI,PT MAKASSAR,,3666 / 3509
PN PONOROGO,PT SURABAYA,,5630 / 4282
PN PONTIANAK,PT PONTIANAK,,18382 / 17357
PN POSO,PT PALU,,5707 / 4440
PN PRABUMULIH,PT PALEMBANG,,3696 / 3505
PN PRAYA,PT MATARAM,,4341 / 4037
PN PROBOLINGGO,PT SURABAYA,,4234 / 4097
PN PURBALINGGA,PT SEMARANG,,3973 / 3248
PN PURWODADI,PT SEMARANG,,9198 / 8800
PN PURWOKERTO,PT SEMARANG,,6567 / 6178
PN PURWOREJO,PT SEMARANG,,4623 / 4112
PN PUTUSSIBAU,PT PONTIANAK,,1814 / 1687
PN PUWAKARTA,PT BANDUNG,,6917 / 6753
PN Pangkalan Balai,PT PALEMBANG,,2768 / 2688
PN Parigi,PT PALU,,2737 / 2238
PN Paringin,PT BANJARMASIN,,1322 / 1310
PN Pasarwajo,PT KENDARI,,2546 / 2283
PN Penajam,PT SAMARINDA,,1248 / 1189
PN Pulang Pisau,PT PALANGKARAYA,,885 / 845
PN Pulau Punjung,PT PADANG,,1774 / 1747
PN RABA BIMA,PT MATARAM,,5547 / 4711
PN RAHA,PT KENDARI,,2882 / 2363
PN RANAI,PT PEKANBARU,,1513 / 1389
PN RANGKAS BITUNG,PT BANTEN,,4063 / 3763
PN RANTAU,PT BANJARMASIN,,4660 / 4440
PN RANTAU PRAPAT,PT MEDAN,,25147 / 24396
PN REMBANG,PT SEMARANG,,3832 / 3707
PN RENGAT,PT PEKANBARU,,5919 / 5698
PN ROKAN HILIR,PT PEKANBARU,,7128 / 6670
PN ROTE NDAO,PT KUPANG,,1532 / 939
PN RUTENG,PT KUPANG,,1997 / 1607
PN SABANG,PT BANDA ACEH,,824 / 779
PN SALATIGA,PT SEMARANG,,3577 / 3297
PN SAMARINDA,PT SAMARINDA,,17663 / 15527
PN SAMBAS,PT PONTIANAK,,5502 / 4850
PN SAMPANG,PT SURABAYA,,4960 / 4750
PN SAMPIT,PT PALANGKARAYA,,5491 / 5334
PN SANGATTA,PT SAMARINDA,,3648 / 3392
PN SANGGAU,PT PONTIANAK,,3588 / 2989
PN SAROLANGUN,PT JAMBI,,3020 / 2574
PN SAUMLAKI,PT AMBON,,2311 / 1838
PN SAWAHLUNTO,PT PADANG,,1222 / 1130
PN SEKAYU,PT PALEMBANG,,10287 / 9003
PN SELAYAR,PT MAKASSAR,,1278 / 1221
PN SELONG,PT MATARAM,,5609 / 5465
PN SEMARANG,PT SEMARANG,,17988 / 16319
PN SEMARAPURA,PT DENPASAR,,3941 / 3842
PN SENGETI,PT JAMBI,,3149 / 3053
PN SENGKANG,PT MAKASSAR,,5131 / 4825
PN SERANG,PT BANTEN,,16215 / 15565
PN SERUI,PT JAYAPURA,,1391 / 1136
PN SIAK SRI INDRAPURA,PT PEKANBARU,,5649 / 5425
PN SIBOLGA,PT MEDAN,,8726 / 8182
PN SIDENRENG RAPPANG,PT MAKASSAR,,3186 / 3133
PN SIDIKALANG,PT MEDAN,,2954 / 2721
PN SIDOARJO,PT SURABAYA,,33878 / 32070
PN SIGLI,PT BANDA ACEH,,5364 / 5115
PN SIMALUNGUN,PT MEDAN,,10158 / 9620
PN SINABANG,PT BANDA ACEH,,597 / 566
PN SINGARAJA,PT DENPASAR,,12605 / 12063
PN SINGKAWANG,PT PONTIANAK,,6990 / 6591
PN SINGKEL,PT BANDA ACEH,,1604 / 1555
PN SINJAI,PT MAKASSAR,,2403 / 2296
PN SINTANG,PT PONTIANAK,,4033 / 3436
PN SITUBONDO,PT SURABAYA,,4335 / 3825
PN SLEMAN,PT YOGYAKARTA,,17162 / 15805
PN SOASIU,PT MALUKU UTARA,,2012 / 1842
PN SOE,PT KUPANG,,2124 / 1548
PN SOLOK,PT PADANG,,2860 / 2653
PN SORONG,PT JAYAPURA,,6096 / 5430
PN SRAGEN,PT SEMARANG,,6019 / 5747
PN STABAT,PT MEDAN,,13724 / 13067
PN SUBANG,PT BANDUNG,,4907 / 4716
PN SUKABUMI,PT BANDUNG,,4946 / 4739
PN SUKADANA,PT TANJUNG KARANG,,3266 / 2854
PN SUKOHARJO,PT SEMARANG,,8576 / 8041
PN SUMBAWA BESAR,PT MATARAM,,5158 / 4716
PN SUMBER,PT BANDUNG,,6200 / 5471
PN SUMEDANG,PT BANDUNG,,6093 / 5432
PN SUMENEP,PT SURABAYA,,6467 / 6327
PN SUNGAI LIAT,PT BANGKA BELITUNG,,11121 / 10175
PN SUNGAI PENUH,PT JAMBI,,2762 / 2603
PN SUNGGUMINASA,PT MAKASSAR,,8730 / 7572
PN SURABAYA,PT SURABAYA,,87371 / 71286
PN SURAKARTA,PT SEMARANG,,12595 / 11701
PN Sanana,PT MALUKU UTARA,,614 / 593
PN Sei Rampah,PT MEDAN,,6747 / 6535
PN Sibuhuan,PT MEDAN,,1608 / 1608
PN Simpang Tiga Redelong,PT BANDA ACEH,,1164 / 1080
PN Suka Makmue,PT BANDA ACEH,,706 / 691
PN TABANAN,PT DENPASAR,,5914 / 4999
PN TAHUNA,PT MANADO,,3974 / 3045
PN TAIS,PT BENGKULU,,1136 / 1066
PN TAKALAR,PT MAKASSAR,,2742 / 2606
PN TAKENGON,PT BANDA ACEH,,2402 / 2258
PN TAMIANG LAYANG,PT PALANGKARAYA,,1056 / 987
PN TANAH GROGOT,PT SAMARINDA,,4205 / 4063
PN TANGERANG,PT BANTEN,,24468 / 18783
PN TANJUNG,PT BANJARMASIN,,4294 / 3955
PN TANJUNG BALAI ASAHAN,PT MEDAN,,7261 / 7047
PN TANJUNG BALAI KARIMUN,PT PEKANBARU,,3144 / 2770
PN TANJUNG JABUNG TIMUR,PT JAMBI,,1422 / 1337
PN TANJUNG KARANG,PT TANJUNG KARANG,,15619 / 14821
PN TANJUNG PANDAN,PT BANGKA BELITUNG,,4139 / 3877
PN TANJUNG PATI,PT PADANG,,1932 / 1840
PN TANJUNG PINANG,PT PEKANBARU,,8826 / 8054
PN TANJUNG REDEP,PT SAMARINDA,,3439 / 2850
PN TANJUNG SELOR,PT SAMARINDA,,2836 / 2485
PN TAPAK TUAN,PT BANDA ACEH,,1812 / 1718
PN TARAKAN,PT SAMARINDA,,5092 / 4825
PN TARUTUNG,PT MEDAN,,4134 / 3629
PN TASIKMALAYA,PT BANDUNG,,7613 / 6223
PN TEBING TINGGI,PT MEDAN,,7470 / 6798
PN TEBO,PT JAMBI,,3095 / 2944
PN TEGAL,PT SEMARANG,,3932 / 3577
PN TEMANGGUNG,PT SEMARANG,,4763 / 4083
PN TEMBILAHAN,PT PEKANBARU,,4405 / 4150
PN TENGGARONG,PT SAMARINDA,,8072 / 7797
PN TERNATE,PT MALUKU UTARA,,5465 / 5044
PN TILAMUTA,PT GORONTALO,,1251 / 1138
PN TOBELO,PT MALUKU UTARA,,1050 / 840
PN TOLITOLI,PT PALU,,1291 / 1227
PN TONDANO,PT MANADO,,9472 / 6775
PN TRENGGALEK,PT SURABAYA,,6667 / 6463
PN TUAL,PT AMBON,,1426 / 1185
PN TUBAN,PT SURABAYA,,10442 / 10284
PN TUBEI,PT BENGKULU,,963 / 851
PN TULUNGAGUNG,PT SURABAYA,,16455 / 16006
PN Teluk Kuantan,PT PEKANBARU,,1893 / 1826
PN UNAAHA,PT KENDARI,,2949 / 2572
PN WAIKABUBAK,PT KUPANG,,2381 / 2094
PN WAINGAPU,PT KUPANG,,3192 / 2856
PN WAMENA,PT JAYAPURA,,1459 / 1438
PN WATAMPONE,PT MAKASSAR,,3449 / 3324
PN WATANSOPENG,PT MAKASSAR,,1896 / 1799
PN WATES,PT YOGYAKARTA,,5880 / 5493
PN WONOGIRI,PT SEMARANG,,4819 / 4593
PN WONOSARI,PT YOGYAKARTA,,4963 / 4777
PN WONOSOBO,PT SEMARANG,,5797 / 5512
PN Wangi Wangi,PT KENDARI,,611 / 587
PN YOGYAKARTA,PT YOGYAKARTA,,14954 / 14011
PT AMBON,BADAN PERADILAN UMUM,,2556 / 2448
PT BANDA ACEH,BADAN PERADILAN UMUM,,6728 / 6597
PT BANDUNG,BADAN PERADILAN UMUM,,10799 / 10301
PT BANGKA BELITUNG,BADAN PERADILAN UMUM,,1382 / 1363
PT BANJARMASIN,BADAN PERADILAN UMUM,,4299 / 4279
PT BANTEN,BADAN PERADILAN UMUM,,5688 / 5273
PT BENGKULU,BADAN PERADILAN UMUM,,2936 / 2875
PT DENPASAR,BADAN PERADILAN UMUM,,4756 / 4515
PT GORONTALO,BADAN PERADILAN UMUM,,1942 / 1915
PT JAKARTA,BADAN PERADILAN UMUM,,16989 / 16361
PT JAMBI,BADAN PERADILAN UMUM,,4647 / 4533
PT JAYAPURA,BADAN PERADILAN UMUM,,3166 / 3102
PT KALIMANTAN UTARA,BADAN PERADILAN UMUM,,276 / 276
PT KENDARI,BADAN PERADILAN UMUM,,3914 / 3592
PT KEPULAUAN RIAU,BADAN PERADILAN UMUM,,974 / 974
PT KUPANG,BADAN PERADILAN UMUM,,5921 / 5333
PT Latihan,,,13 / 11
PT MAKASSAR,BADAN PERADILAN UMUM,,16000 / 15567
PT MALUKU UTARA,BADAN PERADILAN UMUM,,1220 / 1214
PT MANADO,BADAN PERADILAN UMUM,,3337 / 2966
PT MATARAM,BADAN PERADILAN UMUM,,4782 / 4678
PT MEDAN,BADAN PERADILAN UMUM,,28992 / 28822
PT PADANG,BADAN PERADILAN UMUM,,7879 / 5997
PT PALANGKARAYA,BADAN PERADILAN UMUM,,3887 / 3676
PT PALEMBANG,BADAN PERADILAN UMUM,,5863 / 5743
PT PALU,BADAN PERADILAN UMUM,,4321 / 4220
PT PAPUA BARAT,BADAN PERADILAN UMUM,,281 / 281
PT PEKANBARU,BADAN PERADILAN UMUM,,10760 / 10270
PT PONTIANAK,BADAN PERADILAN UMUM,,4985 / 4781
PT SAMARINDA,BADAN PERADILAN UMUM,,6883 / 6648
PT SEMARANG,BADAN PERADILAN UMUM,,16389 / 15476
PT SULAWESI BARAT,BADAN PERADILAN UMUM,,813 / 810
PT SURABAYA,BADAN PERADILAN UMUM,,30521 / 17550
PT TANJUNG KARANG,BADAN PERADILAN UMUM,,4684 / 4496
PT YOGYAKARTA,BADAN PERADILAN UMUM,,3866 / 3311
PTA AMBON,BADAN PERADILAN AGAMA,,105 / 105
PTA BALI,BADAN PERADILAN AGAMA,,48 / 48
PTA BANDAR LAMPUNG,BADAN PERADILAN AGAMA,,636 / 634
PTA BANDUNG,BADAN PERADILAN AGAMA,,5001 / 3587
PTA BANGKA BELITUNG,BADAN PERADILAN AGAMA,,163 / 163
PTA BANJARMASIN,BADAN PERADILAN AGAMA,,927 / 904
PTA BANTEN,BADAN PERADILAN AGAMA,,1516 / 1492
PTA BENGKULU,BADAN PERADILAN AGAMA,,268 / 268
PTA GORONTALO,BADAN PERADILAN AGAMA,,317 / 316
PTA JAKARTA,BADAN PERADILAN AGAMA,,2112 / 1849
PTA JAMBI,BADAN PERADILAN AGAMA,,477 / 476
PTA JAYAPURA,BADAN PERADILAN AGAMA,,217 / 213
PTA KALIMANTAN UTARA,BADAN PERADILAN AGAMA,,28 / 28
PTA KENDARI,BADAN PERADILAN AGAMA,,518 / 516
PTA KEPULAUAN RIAU,BADAN PERADILAN AGAMA,,79 / 79
PTA KUPANG,BADAN PERADILAN AGAMA,,86 / 83
PTA LAtihan,BADAN PERADILAN AGAMA,,3 / 0
PTA MAKASSAR,BADAN PERADILAN AGAMA,,2244 / 2224
PTA MALUKU UTARA,BADAN PERADILAN AGAMA,,235 / 228
PTA MANADO,BADAN PERADILAN AGAMA,,155 / 153
PTA MATARAM,BADAN PERADILAN AGAMA,,1350 / 1350
PTA MEDAN,BADAN PERADILAN AGAMA,,2201 / 2200
PTA PADANG,BADAN PERADILAN AGAMA,,762 / 762
PTA PALANGKARAYA,BADAN PERADILAN AGAMA,,312 / 269
PTA PALEMBANG,BADAN PERADILAN AGAMA,,818 / 817
PTA PALU,BADAN PERADILAN AGAMA,,348 / 346
PTA PAPUA BARAT,BADAN PERADILAN AGAMA,,9 / 8
PTA PEKANBARU,BADAN PERADILAN AGAMA,,1116 / 1030
PTA PONTIANAK,BADAN PERADILAN AGAMA,,474 / 473
PTA SAMARINDA,BADAN PERADILAN AGAMA,,888 / 888
PTA SEMARANG,BADAN PERADILAN AGAMA,,5223 / 4938
PTA SULAWESI BARAT,BADAN PERADILAN AGAMA,,36 / 36
PTA SURABAYA,BADAN PERADILAN AGAMA,,7881 / 7781
PTA YOGYAKARTA,BADAN PERADILAN AGAMA,,1155 / 1116
PTTUN BANJARMASIN,BADAN PERADILAN MILITER DAN TATA USAHA NEGARA,,214 / 214
PTTUN JAKARTA,BADAN PERADILAN MILITER DAN TATA USAHA NEGARA,Dki Jakarta,5235 / 5200
PTTUN Latihan,BADAN PERADILAN MILITER DAN TATA USAHA NEGARA,,1 / 0
PTTUN MAKASSAR,BADAN PERADILAN MILITER DAN TATA USAHA NEGARA,Sulawesi Selatan,2201 / 2191
PTTUN MANADO,BADAN PERADILAN MILITER DAN TATA USAHA NEGARA,,211 / 211
PTTUN MATARAM,BADAN PERADILAN MILITER DAN TATA USAHA NEGARA,,117 / 117
PTTUN MEDAN,BADAN PERADILAN MILITER DAN TATA USAHA NEGARA,Sumatera Utara,3049 / 3007
PTTUN PALEMBANG,BADAN PERADILAN MILITER DAN TATA USAHA NEGARA,,264 / 264
PTTUN SURABAYA,BADAN PERADILAN MILITER DAN TATA USAHA NEGARA,Jawa Timur,3158 / 3149
PTUN AMBON,PTTUN MAKASSAR,Maluku,374 / 362
PTUN BANDA ACEH,PTTUN MEDAN,Nad,512 / 492
PTUN BANDAR LAMPUNG,PTTUN MEDAN,Bandar Lampung,377 / 365
PTUN BANDUNG,PTTUN JAKARTA,Jawa Barat,1758 / 1662
PTUN BANJARMASIN,PTTUN JAKARTA,Kalimantan Selatan,404 / 403
PTUN BENGKULU,PTTUN MEDAN,Bengkulu,709 / 698
PTUN DENPASAR,PTTUN SURABAYA,Bali,371 / 367
PTUN GORONTALO,PTTUN MAKASSAR,,164 / 164
PTUN JAKARTA,PTTUN JAKARTA,Dki Jakarta,4252 / 3975
PTUN JAMBI,PTTUN MEDAN,Jambi,334 / 330
PTUN JAYAPURA,PTTUN MAKASSAR,Papua,520 / 490
PTUN KENDARI,PTTUN MAKASSAR,Sulawesi Tenggara,526 / 526
PTUN KUPANG,PTTUN SURABAYA,Nusa Tenggara Timur,555 / 550
PTUN Latihan,,,12 / 1
PTUN MAKASSAR,PTTUN MAKASSAR,Sulawesi Selatan,1463 / 1458
PTUN MANADO,PTTUN MAKASSAR,Sulawesi Utara,555 / 550
PTUN MATARAM,PTTUN SURABAYA,Nusa Tenggara Barat,773 / 763
PTUN MEDAN,PTTUN MEDAN,Sumatera Utara,1512 / 1459
PTUN PADANG,PTTUN MEDAN,Sumatera Barat,457 / 436
